Ref,Val,Package,PosX,PosY,Rot,Side
"amrita","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",54.610000,-115.570000,0.000000,top
"billa","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",64.770000,-95.250000,0.000000,top
"chinmai","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",54.610000,-95.250000,0.000000,top
"devon","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",54.610000,-125.730000,0.000000,top
"gil","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",64.770000,-115.570000,0.000000,top
"isabelle","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",54.610000,-135.890000,0.000000,top
"keon","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",64.770000,-135.890000,0.000000,top
"owen","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",54.610000,-105.410000,0.000000,top
"patrick","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",64.770000,-105.410000,0.000000,top
"vasco","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",64.770000,-125.730000,0.000000,top
